,precision,recall,f1-score,support
0,0.915929203539823,0.8483606557377049,0.8808510638297873,244.0
1,0.5316455696202531,0.6885245901639344,0.6,61.0
accuracy,0.8163934426229508,0.8163934426229508,0.8163934426229508,0.8163934426229508
macro avg,0.723787386580038,0.7684426229508197,0.7404255319148936,305.0
weighted avg,0.8390724767559091,0.8163934426229508,0.8246808510638298,305.0
