,precision,recall,f1-score,support
0,0.8846153846153846,0.8483606557377049,0.8661087866108786,244.0
1,0.4788732394366197,0.5573770491803278,0.5151515151515151,61.0
accuracy,0.7901639344262295,0.7901639344262295,0.7901639344262295,0.7901639344262295
macro avg,0.6817443120260022,0.7028688524590163,0.690630150881197,305.0
weighted avg,0.8034669555796315,0.7901639344262295,0.7959173323190061,305.0
